Greek Translation (Google Translate),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
προς τα πίσω,0,0,0,0,0,0,0,0,0,0
άβακας,0,0,0,0,0,0,0,0,0,1
εγκαταλείπω,0,1,0,0,0,1,0,1,0,0
εγκαταλειμμένος,0,1,1,0,0,1,0,1,0,0
εγκατάλειψη,0,1,1,0,0,1,0,1,1,0
μειώνω,0,0,0,0,0,0,0,0,0,0
μείωση,0,0,0,0,0,0,0,0,0,0
αβάς,1,0,0,0,0,0,0,0,0,0
ηγούμενος,0,0,0,0,0,0,0,0,0,1
βραχύνω,0,0,0,0,0,0,0,0,0,0
συντομογραφία,0,0,0,0,0,0,0,0,0,0
κοιλιά,0,0,0,0,0,0,0,0,0,0
κοιλιακός,0,0,0,0,0,0,0,0,0,0
απαγωγή,0,1,0,0,0,1,0,1,1,0
ανώμαλος,0,1,0,0,0,0,0,0,0,0
εκτροπή,0,1,0,0,1,0,0,0,0,0
αναστολή,0,0,0,0,0,0,0,0,0,0
απεχθάνομαι,0,1,1,0,1,1,0,0,0,0
απεχθής,0,1,1,0,1,1,0,0,0,0
συμμορφώνομαι,0,0,0,0,0,0,0,0,0,0
ικανότητα,1,0,0,0,0,0,0,0,0,0
άθλιος,0,1,0,0,1,0,0,0,0,0
εκτομή,0,0,0,0,0,0,0,0,0,0
λάμπων,0,0,0,0,0,0,0,0,0,0
ανώμαλος,0,1,0,0,1,0,0,0,0,0
στο πλοίο,0,0,0,0,0,0,0,0,0,0
κατοικία,0,0,0,0,0,0,0,0,0,0
καταργώ,0,1,1,0,0,0,0,0,0,0
κατάργηση,0,1,0,0,0,0,0,0,0,0
απαίσιος,0,1,0,0,1,1,0,0,0,0
βδέλυγμα,0,1,1,0,1,1,0,0,0,0
ιθαγενής,0,0,0,0,0,0,0,0,0,0
διακόπτομαι,0,1,0,0,0,0,0,0,0,0
άμβλωση,0,1,0,0,1,1,0,1,0,0
ανεπιτυχής,0,1,0,0,0,0,0,1,0,0
βρίθω,0,0,0,0,0,0,0,0,0,0
τα προαναφερθέντα,1,0,0,0,0,0,0,0,0,0
τριβή,0,1,0,0,0,0,0,0,0,0
στο εξωτερικό,0,0,0,0,0,0,0,0,0,0
ακυρώνω,0,1,0,0,0,0,0,0,0,0
απότομος,0,0,0,0,0,0,0,0,1,0
απότομα,0,0,0,0,0,0,0,0,0,0
απόστημα,0,1,0,0,0,0,0,1,0,0
απουσία,0,1,0,0,0,1,0,1,0,0
απών,0,1,0,0,0,0,0,1,0,0
απών,0,1,0,0,0,0,0,1,0,0
κατά συνήθεια απουσία,0,1,0,0,0,0,0,0,0,0
αψέντι,0,0,0,0,0,0,0,0,0,0
απόλυτος,1,0,0,0,0,0,0,0,0,0
απαλλαγή,1,0,0,0,0,0,1,0,0,1
απορροφάται,1,0,0,0,0,0,0,0,0,0
απορροφητικό,0,0,0,0,0,0,0,0,0,0
απορρόφηση,0,0,0,0,0,0,0,0,0,0
απορρόφηση,0,0,0,0,0,0,0,0,0,0
απέχω,0,0,0,0,0,0,0,0,0,0
αποχή,0,0,0,0,0,0,0,0,0,0
αποχή,0,0,0,0,0,0,0,0,0,0
περίληψη,0,0,0,0,0,0,0,0,0,0
αφαίρεση,0,0,0,0,0,0,0,0,0,0
παράλογος,0,1,0,0,0,0,0,0,0,0
παραλογισμός,0,1,0,0,0,0,0,0,0,0
αφθονία,1,1,0,1,1,0,1,0,0,1
άφθονος,1,0,0,0,0,0,1,0,0,0
κατάχρηση,0,1,1,0,1,1,0,1,0,0
στήριγμα,0,0,0,0,0,0,0,0,0,0
Aby,0,0,0,0,0,0,0,0,0,0
αβυσσαλέα,0,1,0,0,0,0,0,1,0,0
άβυσσος,0,1,0,0,0,1,0,1,0,0
ακαδημαϊκός,1,0,0,0,0,0,0,0,0,1
ακαδημία,1,0,0,0,0,0,0,0,0,0
ανέρχομαι,0,0,0,0,0,0,0,0,0,0
επιταχύνω,0,0,0,1,0,0,0,0,0,0
επιτάχυνση,0,0,0,0,0,0,0,0,0,0
προφορά,0,0,0,0,0,0,0,0,0,0
τονίζω,0,0,0,0,0,0,0,0,0,0
αποδέχομαι,0,0,0,0,0,0,0,0,0,0
δεκτός,1,0,0,0,0,0,0,0,0,0
αποδοχή,1,0,0,0,0,0,0,0,0,0
πρόσβαση,0,0,0,0,0,0,0,0,0,0
προσιτός,1,0,0,0,0,0,0,0,0,0
ένταξη,0,0,0,0,0,0,0,0,0,0
αξεσουάρ,0,0,0,0,0,0,0,0,0,0
ατύχημα,0,1,0,0,0,1,0,1,1,0
τυχαίος,0,1,0,0,0,1,0,0,1,0
κατά λάθος,0,0,0,0,0,0,0,0,1,0
χειροτονία ιππότου,1,0,0,1,0,0,1,0,1,1
διευκολύνω,0,0,0,0,0,0,0,0,0,0
κατάλυμα,1,0,0,0,0,0,0,0,0,0
συνοδεία,1,0,0,1,0,0,1,0,0,1
συνοδεύω,0,0,0,0,0,0,0,0,0,0
συνοδευτικά,0,0,0,0,0,0,0,0,0,0
συνένοχος,0,0,0,0,0,0,0,0,0,0
εκπληρώ,1,0,0,0,0,0,1,0,0,0
τέλειος,1,0,0,0,0,0,1,0,0,0
εκπλήρωση,1,0,0,0,0,0,0,0,0,0
συμφωνία,1,0,0,0,0,0,0,0,0,1
