"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","YEAR","Year","Value","Flag Codes","Flags"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1995","1995",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1996","1996",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1997","1997",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1998","1998",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","1999","1999",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2000","2000",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2001","2001",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2002","2002",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2003","2003",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2004","2004",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2005","2005",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2006","2006",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2007","2007",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2008","2008",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2009","2009",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2010","2010",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2011","2011",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2012","2012",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2013","2013",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2014","2014",,"M","Missing value; data cannot exist"
"SVK","Slovak Republic","I-INV-SEA","Maritime port infrastructure investment","NAT","National currency","2015","2015",,"M","Missing value; data cannot exist"
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2002","2002",903000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2003","2003",75000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2004","2004",50000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2005","2005",167000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2006","2006",385000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2007","2007",793000000,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2008","2008",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2009","2009",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2010","2010",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2011","2011",0,,
"BGR","Bulgaria","I-INV-IWW","Inland waterway infrastucture investment","NAT","National currency","2012","2012",0,,
