"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",90.64,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",97.05,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",81.94,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",85.54,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",104.07,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",102.28,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",92.56,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",129.29,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",102.81,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",129.12,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",121.18,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",110.85,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",115.16,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",101.84,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",91.23,,
"ALB","Albania","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",93.45,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",69.57,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",77.45,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",77.12,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",82.99,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",85.59,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",102.82,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",110.59,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",124.16,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",136.81,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",109.57,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",99.21,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",110.18,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",104.42,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",105.61,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",98.8,,
"ARM","Armenia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",114.66,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",94.87,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",89.48,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",87.27,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",81.48,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",78.65,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",79.78,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",77.21,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",76.97,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",67.63,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",68.74,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",61.41,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",57.16,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",57.2,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",51.35,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",49.01,,
"AUS","Australia","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",50.67,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2001","2001",139.22,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2002","2002",133.75,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2003","2003",123.15,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2004","2004",116.97,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2005","2005",116.88,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2006","2006",111.29,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2007","2007",108.49,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2008","2008",93.94,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2009","2009",95.13,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2010","2010",84.24,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2011","2011",78.02,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2012","2012",77.65,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2013","2013",69.09,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",65.22,,
"AUS","Australia","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2015","2015",66.92,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2002","2002",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2003","2003",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2004","2004",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2005","2005",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2006","2006",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2007","2007",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2008","2008",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2009","2009",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2010","2010",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2011","2011",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2012","2012",0.01,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2013","2013",0,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2014","2014",0,,
"AUS","Australia","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2015","2015",0,,
"AUT","Austria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",121.82,,
"AUT","Austria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",119.12,,
"AUT","Austria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",118.29,,
"AUT","Austria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",114.64,,
"AUT","Austria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",107.44,,
"AUT","Austria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",93.34,,
"AUT","Austria","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",88.29,,
