"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2000","2000",3.6,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2001","2001",4,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2002","2002",3.5,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2003","2003",2.9,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2004","2004",3.3,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2005","2005",3.6,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2006","2006",3.7,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2007","2007",4,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2008","2008",3.9,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2009","2009",4.2,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2010","2010",4.4,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2011","2011",4.7,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2012","2012",4.9,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2013","2013",3.6,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2014","2014",3.4,,
"ALB","Albania","IND-ECO-VA","Share of value added by the transport sector","2015","2015",3.5,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2000","2000",12.2,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2001","2001",11.6,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2002","2002",11.7,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2003","2003",11.6,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2004","2004",11.8,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2005","2005",11.9,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2006","2006",12.2,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2007","2007",12.7,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2008","2008",11,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2009","2009",10.8,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2010","2010",11.1,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2011","2011",11.2,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2012","2012",11,,
"AUS","Australia","IND-ECO-EXP-TRAN","Share of household expenditure for transport in total household expenditure","2013","2013",10.8,,
