"",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Belgique/België,"1,873","1,671","1,660","1,692","1,449","1,356","1,364","1,500","1,397","1,470","1,486","1,306","1,214","1,162",1089,1069,1071,944,944,840,862,770,723,727,732
"България (Bul","1,114","1,299","1,307","1,390","1,264","1,014",915,"1,003","1,047","1,012","1,011",959,960,943,957,1043,1006,1061,901,776,657,601,601,661,708
"Česká republika","1,331","1,571","1,524","1,637","1,588","1,570","1,597","1,360","1,455","1,486","1,333","1,430","1,447","1,382",1286,1063,1221,1076,901,802,772,742,655,688,734
Danmark,606,577,559,546,582,514,489,499,514,498,431,463,432,369,331,306,406,406,303,255,220,167,191,182,178
Deutschland,"11,300","10,631","9,949","9,814","9,454","8,758","8,549","7,792","7,772","7,503","6,977","6,842","6,613","5,842",5361,5091,4949,4477,4152,3648,4009,3600,3339,3377,3459
Eesti,490,287,321,364,332,213,280,284,232,204,199,223,164,170,170,204,196,132,98,79,101,87,81,78,67
Ireland,445,415,431,404,437,453,473,458,414,418,412,376,337,377,400,365,338,280,238,212,186,162,188,193,166
"Ελλάδα (Elláda)","2,112","2,158","2,160","2,253","2,412","2,157","2,105","2,182","2,116","2,037","1,880","1,634","1,605","1,670",1658,1657,1612,1555,1456,1258,1141,988,879,795,805
España,"8,837","7,818","6,375","5,612","5,749","5,482","5,604","5,956","5,738","5,777","5,517","5,347","5,400","4,749",4442,4104,3823,3100,2714,2479,2060,1903,1680,1688,1689
France,"10,483","9,902","9,865","9,019","8,892","8,540","8,445","8,920","8,486","8,079","8,162","7,655","6,058","5,530",5318,4709,4620,4275,4273,3992,3963,3653,3268,3384,3461
Hrvatska,"1,221","1,082",943,804,800,721,714,646,662,655,647,627,701,608,597,614,619,664,548,426,418,390,368,308,348
Italia,"8,109","8,053","7,187","7,091","7,020","6,676","6,714","6,313","6,688","7,061","7,096","6,980","6,563","6,122",5818,5669,5131,4725,4237,4114,3860,3753,3401,3381,3428
"Κύπρος (Kypros",103,132,115,133,118,128,115,111,113,111,98,94,97,117,102,86,89,82,71,60,71,51,44,45,57
Latvija,997,787,724,774,660,594,567,677,652,635,558,559,532,516,442,407,419,316,254,218,179,177,179,212,188
