time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-23T17:11:24.500Z,36.7419,-98.0378,1.83,3.1,mb_lg,,48,0.151,0.13,us,us2000a03i,2017-07-23T22:44:43.872Z,"28km E of Cherokee, Oklahoma",earthquake,0.7,4.2,0.046,122,reviewed,us,us
2017-07-19T00:20:05.580Z,36.0393,-97.1537,2.97,3.5,mb_lg,,27,0.114,0.29,us,us20009xry,2017-07-24T00:26:39.374Z,"12km SW of Stillwater, Oklahoma",earthquake,1.1,7.8,0.046,123,reviewed,us,us
2017-07-18T21:59:52.270Z,35.8749,-96.6953,4.95,3,mb_lg,,50,0.089,0.3,us,us20009xqw,2017-07-19T00:39:12.203Z,"13km SSE of Cushing, Oklahoma",earthquake,1.7,3.3,0.05,106,reviewed,us,us
2017-07-18T02:32:30.360Z,36.6221,-98.4302,5,3.6,mb_lg,,30,0.24,0.56,us,us20009x85,2017-07-22T02:42:20.223Z,"16km SSW of Cherokee, Oklahoma",earthquake,3,2,0.054,90,reviewed,us,us
2017-07-17T21:06:34.200Z,36.4454,-97.0626,5.966,3.3,ml,,33,,0.34,us,us20009x2c,2017-07-18T04:28:24.215Z,"25km S of McCord, Oklahoma",earthquake,1.4,4.1,,,reviewed,tul,tul
2017-07-17T03:51:18.700Z,35.8628,-96.6819,6.806,3.2,ml,,42,,0.37,us,us20009wux,2017-07-18T03:02:20.233Z,"12km N of Stroud, Oklahoma",earthquake,1.8,3.2,,,reviewed,tul,tul
2017-07-17T03:29:22.050Z,36.2482,-98.4378,1.99,3.2,mb_lg,,24,0.245,0.3,us,us20009wut,2017-07-17T11:36:19.306Z,"4km ESE of Fairview, Oklahoma",earthquake,1.6,6.8,0.051,100,reviewed,us,us
2017-07-15T23:11:24.320Z,35.857,-96.6853,3.69,3,mb_lg,,47,0.106,0.22,us,us20009wph,2017-07-16T12:42:53.729Z,"12km NNW of Stroud, Oklahoma",earthquake,2.3,6.2,0.049,108,reviewed,us,us
2017-07-14T15:11:32.300Z,36.0361,-97.9013,4.504,3,ml,,20,,0.29,us,us20009wbx,2017-07-15T16:48:40.173Z,"8km S of Hennessey, Oklahoma",earthquake,1,3.1,,,reviewed,tul,tul
2017-07-14T15:04:22.000Z,35.86,-96.6992,5,3.4,ml,,44,,0.28,us,us20009wbv,2017-07-15T15:14:22.243Z,"12km NNW of Stroud, Oklahoma",earthquake,1,2,,,reviewed,tul,tul
2017-07-14T14:17:50.600Z,35.8619,-96.6898,5.41,3.7,mwr,,47,0.1,0.46,us,us20009wbj,2017-07-15T14:02:37.757Z,"12km NNW of Stroud, Oklahoma",earthquake,1.3,2.6,0.053,34,reviewed,us,us
2017-07-14T14:04:50.900Z,35.862,-96.6857,6.831,3.5,mwr,,71,,0.07,us,us20009wbh,2017-07-21T09:45:06.628Z,"12km N of Stroud, Oklahoma",earthquake,0.9,1.4,0.069,20,reviewed,tul,us
2017-07-14T13:47:35.300Z,35.8591,-96.6833,6.813,4.2,mwr,,39,,0.44,us,us20009wba,2017-07-21T09:38:34.040Z,"12km N of Stroud, Oklahoma",earthquake,1.3,2.6,0.038,66,reviewed,tul,us
2017-07-13T03:16:56.080Z,36.2836,-97.5094,2.66,3.5,mb_lg,,14,0.213,0.27,us,us20009vvg,2017-07-14T14:45:26.583Z,"19km W of Perry, Oklahoma",earthquake,0.8,6.1,0.045,126,reviewed,us,us
2017-07-11T17:22:24.950Z,37.2538,-97.9655,9.7,3.3,mb_lg,,68,0.027,0.49,us,us100098wc,2017-07-17T18:02:06.000Z,"6km SE of Harper, Kansas",earthquake,1.4,2.5,0.048,115,reviewed,us,us
2017-07-09T08:59:43.100Z,36.1106,-98.7228,5,3,mb_lg,,84,0.329,0.15,us,us100098ck,2017-07-09T09:12:49.017Z,"23km ENE of Taloga, Oklahoma",earthquake,0.7,1.9,0.053,92,reviewed,us,us
2017-07-08T02:51:23.530Z,36.3013,-96.6698,5,3.4,mb_lg,,93,0.061,0.09,us,us10009821,2017-07-09T02:01:54.307Z,"12km ESE of Pawnee, Oklahoma",earthquake,1.7,2,0.047,120,reviewed,us,us
2017-07-06T15:22:11.700Z,36.7659,-97.7631,6.031,3.5,mb_lg,,42,,0.23,us,us100097bq,2017-07-10T08:44:48.135Z,"5km SSW of Medford, Oklahoma",earthquake,0.9,3.9,0.048,112,reviewed,tul,us
2017-07-02T09:00:46.930Z,29.0542,-97.9082,5.45,3,mb_lg,,105,0.216,0.52,us,us100095ul,2017-07-15T17:31:04.967Z,"17km E of Poth, Texas",earthquake,4.1,7,0.064,64,reviewed,us,us
2017-07-01T18:07:32.460Z,38.85,-89.2275,16.79,3.12,mw,23,88,0.1728,0.16,nm,nm60173557,2017-07-18T17:21:08.480Z,"16km SW of Vandalia, Illinois",earthquake,0.22,0.3,,12,reviewed,nm,nm
