time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-01T18:07:32.460Z,38.85,-89.2275,16.79,3.12,mw,23,88,0.1728,0.16,nm,nm60173557,2017-07-18T17:21:08.480Z,"16km SW of Vandalia, Illinois",earthquake,0.22,0.3,,12,reviewed,nm,nm
2017-06-20T15:14:04.910Z,33.4275,-82.0168333,12.93,3.2,mlg,25,46,0.347,0.19,se,se60172262,2017-07-18T17:26:16.489Z,"6km SW of Augusta, Georgia",earthquake,0.35,0.81,,94,reviewed,se,se
2017-06-11T12:40:25.100Z,36.376,-92.9895,5.87,3.6,mw,24,85,0.1115,0.15,nm,nm60197956,2017-06-30T11:32:30.314Z,"19km NNE of Harrison, Arkansas",earthquake,0.22,0.45,,16,reviewed,nm,nm
2017-06-03T03:08:39.980Z,39.9173,-81.293,1.38,3.4,mwr,,23,0.337,0.6,us,us20009kfw,2017-07-19T21:36:17.040Z,"12km SW of Barnesville, Ohio",earthquake,1.6,6.3,,39,reviewed,us,slm
2017-05-24T16:24:05.180Z,39.2276,-82.4771,9.6,3.4,mb_lg,,17,0.311,0.53,us,us10008uvu,2017-07-09T22:38:16.040Z,"2km S of McArthur, Ohio",earthquake,4.7,7.1,0.041,157,reviewed,us,us
2017-05-16T10:21:52.240Z,36.873,-89.1216667,9.07,3.26,mw,72,40,0.2691,0.22,nm,nm60194306,2017-06-29T13:46:57.040Z,"9km W of Bardwell, Kentucky",earthquake,0.3,1.32,,16,reviewed,nm,nm
2017-05-14T12:56:24.050Z,36.564,-89.599,13.61,3.02,md,45,31,0.01505,0.12,nm,nm60194166,2017-05-26T07:54:21.040Z,"3km SSE of Lilbourn, Missouri",earthquake,0.14,0.22,0.099,57,reviewed,nm,nm
2017-04-02T11:58:12.390Z,39.6644,-81.2434,3.93,3,mb_lg,,46,0.21,0.93,us,us10008dxn,2017-06-23T07:26:27.040Z,"15km SW of Woodsfield, Ohio",earthquake,1.1,7.8,0.053,93,reviewed,us,us
2017-03-19T14:25:12.570Z,36.8795,-89.1278333,12.22,3.16,md,63,55,0.1898,0.17,nm,nm60181601,2017-06-12T19:46:50.040Z,"10km W of Bardwell, Kentucky",earthquake,0.28,1.02,0.119,68,reviewed,nm,nm
2017-03-15T16:51:10.090Z,36.8816667,-89.1225,8.39,3.59,mw,90,40,0.1943,0.18,nm,nm60180726,2017-06-11T14:13:04.621Z,"9km SSW of Wickliffe, Kentucky",earthquake,0.27,1.01,,9,reviewed,nm,nm
2016-12-13T14:40:21.000Z,44.33,-66.1,18,3,mb_lg,,,,0.25,us,us200080m1,2017-03-09T02:14:30.040Z,"41km SW of Digby, Canada",earthquake,4.7,2,,,reviewed,ott,ott
2016-11-24T01:57:37.580Z,36.1545,-89.6926667,8.75,3.3,mlg,89,26,0.03525,0.14,nm,nm60140077,2017-02-15T23:21:39.040Z,"5km SW of Caruthersville, Missouri",earthquake,0.14,0.37,,135,reviewed,nm,nm
2016-11-01T20:49:23.000Z,47.12,-65.73,5,3.1,mb_lg,,,,0.62,us,us100073mr,2017-01-24T02:02:14.040Z,"23km WNW of Miramichi, Canada",earthquake,2.9,1.9,,,reviewed,ott,ott
2016-09-09T13:45:37.560Z,36.4526667,-89.5346667,10.26,3.44,mw,89,27,0.06306,0.12,nm,nm60132667,2016-12-07T02:56:07.040Z,"9km NW of Tiptonville, Tennessee",earthquake,0.14,0.28,,33,reviewed,nm,nm
2016-07-29T19:55:21.320Z,47.4283,-70.1157,19.43,3,mb_lg,,,,0.55,us,us100068ie,2016-10-19T04:51:41.040Z,"9km NNW of La Pocatiere, Canada",earthquake,6.4,7.1,,,reviewed,ott,ott
2016-07-05T04:51:13.020Z,36.1506667,-89.6973333,9.02,3,md,61,26,0.03084,0.17,nm,nm60123697,2016-09-02T21:36:38.040Z,"6km SW of Caruthersville, Missouri",earthquake,0.21,0.45,0.145,51,reviewed,nm,nm
2016-06-19T23:07:16.800Z,46.4261,-75.5901,18,3.3,mb_lg,,,,1.19,us,us20006f4x,2016-08-27T02:15:30.040Z,"15km SSW of Mont-Laurier, Canada",earthquake,1.9,5.7,,,reviewed,ott,ott
2016-06-09T20:42:56.640Z,43.6155,-66.1682,5,3,mb_lg,,269,1.432,0.38,us,us200063a5,2016-08-18T00:36:37.040Z,"24km S of Yarmouth, Canada",earthquake,4.7,2,,,reviewed,us,ott
2016-05-14T21:29:55.270Z,45.9512,-77.3572,18,3.5,mb_lg,,,,0.76,us,us10005hgh,2016-07-22T19:39:06.040Z,"5km NNW of Petawawa, Canada",earthquake,1.4,1.9,,,reviewed,ott,ott
2016-05-01T06:12:10.030Z,37.2136667,-88.9876667,16.26,3.5,mlg,57,58,0.2251,0.19,nm,nm60114087,2016-07-19T20:03:08.040Z,"15km N of La Center, Kentucky",earthquake,0.24,0.41,,170,reviewed,nm,nm
2016-02-09T00:24:57.000Z,45.605,-67.35,1,3.3,mb_lg,,,,1.18,us,us20004z2l,2016-05-26T21:31:53.690Z,"44km SSW of Nackawic, Canada",earthquake,2.1,2,,,reviewed,ott,ott
2016-02-02T11:56:22.000Z,44.871,-66.878,5,3.6,mb_lg,,,,0.44,us,us20004wjb,2016-05-26T21:31:51.980Z,"9km ESE of Eastport, Maine",earthquake,3.6,2,,,reviewed,ott,ott
2016-01-17T19:12:49.050Z,39.3193333,-77.8283333,4.74,3.03,ml,14,80,0.2174,0.23,ld,ld60108801,2016-05-26T21:31:50.280Z,"3km NE of Ranson, West Virginia",earthquake,0.43,3.02,0.18,13,reviewed,ld,ld
2015-11-28T05:16:54.250Z,44.9785,-74.7305,5,3.23,ml,24,64,0.2111,0.3,ld,ld60106806,2016-05-26T21:31:38.230Z,"4km S of Cornwall, Canada",earthquake,0.41,31.61,0.21,51,reviewed,ld,ld
2015-11-25T07:08:53.120Z,36.538,-89.6013333,8.71,3.04,md,62,30,0.03826,0.15,nm,nm60096437,2016-02-18T04:48:54.040Z,"6km SSE of Lilbourn, Missouri",earthquake,0.16,0.28,0.163,51,reviewed,nm,nm
2015-11-04T15:04:26.330Z,47.0232,-66.6281,5,3.7,mb_lg,,,,0.81,us,us200041yg,2016-01-30T02:11:07.040Z,"88km W of Miramichi, Canada",earthquake,2.9,2,,,reviewed,ott,ott
2015-10-20T23:36:56.760Z,45.7271,-77.1392,18,3.1,mb_lg,,,,0.77,us,us100040ey,2016-01-15T20:51:28.040Z,"10km S of Pembroke, Canada",earthquake,2.1,1.9,,,reviewed,ott,ott
2015-10-20T23:34:51.940Z,45.7344,-77.1451,18,3.8,mb_lg,,,,0.81,us,us10003q3y,2016-05-26T21:31:21.710Z,"9km SSW of Pembroke, Canada",earthquake,2.3,2,,,reviewed,ott,ott
2015-10-16T20:50:20.660Z,36.7511667,-90.8601667,15.74,3.2,mlg,26,72,0.3349,0.26,nm,nm60119416,2016-01-15T20:50:50.040Z,"14km NNW of Doniphan, Missouri",earthquake,0.6,0.51,,0,reviewed,nm,nm
2015-10-16T20:26:07.650Z,36.7613333,-90.8578333,16.01,3.48,mw,53,74,0.3276,0.31,nm,nm60119406,2016-01-15T20:50:49.040Z,"15km N of Doniphan, Missouri",earthquake,0.44,0.6,,21,reviewed,nm,nm
2015-09-30T01:06:22.240Z,46.509,-80.8978,1,3.1,mb_lg,,,,0.81,us,us10003j1h,2015-12-28T23:08:50.040Z,"7km ENE of Greater Sudbury, Canada",earthquake,1.6,2,,,reviewed,ott,ott
2015-09-13T00:45:18.530Z,47.4246,-70.3593,11.29,3.1,mb_lg,,,,0.64,us,us20003j4c,2015-12-12T00:42:49.040Z,"10km E of Baie-Saint-Paul, Canada",earthquake,1.9,6.4,,,reviewed,ott,ott
2015-09-09T19:17:51.070Z,45.767,-76.3743333,10,3.19,ml,14,255,0.5936,0.7,ld,ld60101641,2016-05-26T21:31:12.850Z,"20km NE of Shawville, Canada",earthquake,2.98,31.61,0.17,8,reviewed,ld,ld
2015-08-27T22:47:52.000Z,46.21,-66.594,5,3.6,mb_lg,,,,0.41,us,us100035k5,2016-05-26T21:31:08.670Z,"29km N of Fredericton, Canada",earthquake,3.4,2,,,reviewed,ott,ott
2015-08-25T13:26:15.330Z,35.6633333,-89.682,12.7,3.5,mw,83,68,0.09276,0.15,nm,nm60087957,2015-11-24T02:09:35.040Z,"11km NNW of Covington, Tennessee",earthquake,0.2,0.37,,31,reviewed,nm,nm
2015-08-21T23:49:14.000Z,47.243,-66.29,5,3,mb_lg,,,,0.43,us,us1000345f,2016-05-26T21:31:05.770Z,"63km SW of Bathurst, Canada",earthquake,5.7,2,,,reviewed,ott,ott
2015-07-27T20:26:26.120Z,46.5642,-75.2799,18,3.1,mb_lg,,,,0.99,us,us20003fw4,2016-05-26T21:30:47.560Z,"16km E of Mont-Laurier, Canada",earthquake,3.1,6.2,,,reviewed,ott,ott
2015-07-15T22:00:19.520Z,45.4743333,-74.5435,10.23,3.27,ml,33,134,,0.36,ld,ld60096481,2016-05-26T21:30:37.460Z,"13km SSE of Hawkesbury, Canada",earthquake,0.42,1.07,0.23,13,reviewed,ld,ld
2015-07-01T18:32:53.000Z,44.085,-66.253,5,3.5,mwr,,,,0.29,us,us10002mvh,2015-09-02T22:37:27.040Z,"30km NNW of Yarmouth, Canada",earthquake,7.1,2,0.047,43,reviewed,ott,us
2015-06-30T15:42:54.710Z,42.1464,-85.0459,5,3.3,mb_lg,,33,0.499,0.34,us,us10002mly,2016-01-22T21:14:12.587Z,"11km NE of Union City, Michigan",earthquake,2.9,2,0.037,190,reviewed,us,us
2015-06-30T06:44:07.300Z,32.9594,-88.0301,5,3.5,mwr,,63,0.049,0.5,us,us10002mia,2015-09-02T22:37:25.040Z,"18km NW of Eutaw, Alabama",earthquake,3.4,2,0.04,60,reviewed,us,us
2015-06-29T13:23:01.490Z,32.5614,-90.0744,5,3.2,mb_lg,,51,0.507,0.37,us,us10002mc3,2015-09-02T22:37:24.040Z,"6km SSW of Canton, Mississippi",earthquake,3.2,2,0.047,117,reviewed,us,us
2015-06-28T09:15:03.000Z,47.394,-70.092,7.4,3.3,mb_lg,,,,0.58,us,us10002m6v,2015-09-02T22:37:22.040Z,"5km NNW of La Pocatiere, Canada",earthquake,3.6,6.6,,,reviewed,ott,ott
2015-06-06T18:09:35.010Z,32.9347,-88.0034,5.75,3,mb_lg,,64,0.079,0.9,us,us20002mky,2015-08-10T13:08:22.040Z,"15km NW of Eutaw, Alabama",earthquake,2.7,6.6,0.048,113,reviewed,us,us
2015-05-30T00:41:14.690Z,38.462,-88.3561667,25.85,3.4,mlg,23,63,0.08472,0.3,nm,nm60008708,2016-10-13T15:08:04.910Z,"9km N of Fairfield, Illinois",earthquake,0.55,0.6,,0,reviewed,nm,nm
2015-05-03T01:08:34.860Z,32.5794,-90.1139,5,3,mb_lg,,50,0.496,0.51,us,us20002ax8,2015-07-09T22:00:07.040Z,"8km WSW of Canton, Mississippi",earthquake,3.4,2,0.048,111,reviewed,us,us
2015-05-03T00:39:23.590Z,32.5571,-90.0759,5,3.2,mb_lg,,51,0.503,0.47,us,us20002ax0,2015-07-09T22:00:06.040Z,"7km SSW of Canton, Mississippi",earthquake,4.3,2,0.045,129,reviewed,us,us
2015-05-02T16:23:07.580Z,42.2357,-85.4285,4.48,4.2,mwr,,17,0.682,0.79,us,us20002avh,2017-07-06T21:37:25.480Z,"5km S of Galesburg, Michigan",earthquake,3.8,4.3,0.028,124,reviewed,us,us
2015-05-02T08:34:25.550Z,46.826,-78.927,18,3.3,mb_lg,,,,1.02,us,us20002awj,2015-07-09T22:00:06.040Z,"17km NE of Temiscaming, Canada",earthquake,3.6,2,,,reviewed,ott,ott
2015-04-02T03:51:43.350Z,36.051,-89.8251667,10.91,3.6,mw,70,50,0.06869,0.16,nm,nm60096021,2016-09-07T13:19:15.224Z,"3km S of Steele, Missouri",earthquake,0.19,0.41,,0,reviewed,nm,nm
2015-03-12T01:19:20.150Z,32.9718,-88.055,0,3.1,mb_lg,,95,0.227,0.52,us,us10001lte,2015-06-04T00:46:16.040Z,"19km SSE of Aliceville, Alabama",earthquake,3.1,6.7,0.044,140,reviewed,nm,us
2015-02-28T23:08:44.450Z,36.536,-89.6391667,13.44,3.12,md,51,33,0.02476,0.08,nm,nm60070727,2016-02-09T13:52:43.480Z,"6km SSW of Lilbourn, Missouri",earthquake,0.14,0.25,0.189,50,reviewed,nm,nm
2015-02-27T22:40:50.050Z,33.0093,-88.0412,19.58,3.2,md,,124,0.191,1.11,us,usc000ttvd,2016-01-11T15:50:55.330Z,"16km SE of Aliceville, Alabama",earthquake,3.7,4.8,0.107,6,reviewed,nm,nm
2015-02-19T21:29:43.570Z,32.9497,-88.0307,2.95,3,mb_lg,,96,0.25,0.57,us,usc000trpe,2016-02-09T13:53:16.900Z,"18km NW of Eutaw, Alabama",earthquake,3.2,6.8,0.069,54,reviewed,us,us
