"",Total,Total,,of which:,
"",number,number,,,Share in all minor
"",2015,2016,Males,Aged below 14,applicants (%)
EU,96 465,63 290,89%,10%,15.9
Belgium,2 850,1 035,87%,16%,18.2
Bulgaria,1 815,2 750,95%,17%,41.9
Czech Republic,15,-,-,-,-
Denmark,2 125,1 185,90%,10%,49.1
Germany,22 255,35 935,89%,10%,13.4
Estonia,-,-,-,-,-
Ireland,35,35,85%,3%,5.9
Greece,420,2 350,87%,12%,11.9
Spain,25,30,68%,0%,0.7
France,320,475,76%,9%,3.1
Croatia,5,170,99%,9%,36.3
Italy,4 070,6 020,95%,1%,53.9
Cyprus,105,215,54%,1%,31.6
Latvia,10,5,67%,0%,2.4
Lithuania,5,0,100%,0%,0.6
Luxembourg,105,50,100%,0%,8.2
Hungary,8 805,1 220,99%,10%,14.3
Malta,35,15,100%,0%,3.3
Netherlands,3 855,1 705,78%,9%,27.4
Austria,8 275,3 900,94%,10%,21.8
Poland,150,140,63%,69%,2.4
Portugal,50,25,67%,4%,6.7
Romania,55,45,95%,7%,8.1
Slovenia,40,245,99%,9%,57.1
Slovakia,5,0,50%,0%,5.4
Finland,2 535,370,69%,34%,21.4
Sweden,35 250,2 190,80%,17%,20.2
United Kingdom,3 255,3 175,90%,7%,33.9
Iceland,5,20,89%,0%,6.5
Liechtenstein,5,5,67%,33%,17.6
Norway,5 050,270,82%,17%,21.5
Switzerland,2 670,1 985,84%,7%,21.5
