,,Applicants,Three main citizenships of asylum applicants considered unaccompanied minors,,,,,,,,
,#,"First
citizenship",#,%,"Second
citizenship",#,%,"Third
citizenship",#,%,
,EU,63290,Afghanistan,23990,38,Syria,11990,19,Iraq,4155,7
,Belgium,1035,Afghanistan,540,52,Guinea,80,8,Syria,75,7
,Bulgaria,2750,Afghanistan,2040,74,Iraq,370,13,Pakistan,185,7
,Czech Republic,-,-,-,-,-,-,-,-,-,-
,Denmark,1185,Afghanistan,525,45,Morocco,125,11,Eritrea,120,10
,Germany,35935,Afghanistan,14960,42,Syria,10045,28,Iraq,2960,8
,Estonia,-,-,-,-,-,-,-,-,-,-
,Ireland,35,Afghanistan,10,26,Albania,5,21,Syria,5,12
,Greece,2350,Syria,765,32,Pakistan,640,27,Afghanistan,430,18
,Spain,30,Syria,10,32,^,^,^,^,^,^
,France,475,Afghanistan,130,28,"Dem. Rep. of the
Congo",45,10,Sudan,40,8
,Croatia,170,Afghanistan,125,74,Pakistan,10,7,Syria,10,7
,Italy,6020,Gambia,1720,29,Nigeria,765,13,Senegal,550,9
,Cyprus,215,Somalia,135,63,Syria,50,22,Congo,5,3
,Latvia,5,Vietnam,5,100,-,-,-,-,-,-
,Lithuania,0,^,^,^,^,^,^,^,^,^
,Luxembourg,50,Afghanistan,15,27,Morocco,10,20,Guinea,5,14
,Hungary,1220,Afghanistan,850,70,Pakistan,150,12,Kosovo*,55,4
,Malta,15,Syria,10,67,Eritrea,5,27,^,^,^
,Netherlands,1705,Eritrea,775,45,Afghanistan,195,11,Syria,180,11
,Austria,3900,Afghanistan,2445,63,Pakistan,315,8,Somalia,300,8
,Poland,140,Russia,85,61,Vietnam,25,18,Tajikistan,5,5
,Portugal,25,Congo,10,42,Côte d'Ivoire,5,13,^,^,^
,Romania,45,Iraq,20,42,Syria,15,35,Afghanistan,5,16
,Slovenia,245,Afghanistan,165,67,Pakistan,20,7,Syria,15,5
,Slovakia,0,^,^,^,^,^,^,^,^,^
,Finland,370,Afghanistan,100,27,Syria,95,26,Iraq,55,15
,Sweden,2190,Afghanistan,665,30,Somalia,420,19,Syria,180,8
,United Kingdom,3175,Afghanistan,740,23,Albania,405,13,Eritrea,405,13
,Iceland,20,Iraq,5,22,Syria,5,17,^,^,^
,Liechtenstein,5,^,^,^,^,^,^,^,^,^
,Norway,270,Afghanistan,115,42,Eritrea,45,17,Syria,25,9
